预测结果,误差
9663.6,1508.12
9666.1,1518.41
9668.5,1798.76
9669.4,1457.38
9672.2,1482.2
9674.8,1086.88
9679.7,1092.8
9684.5,1414.77
9687.6,1379.59
9690.8,1407.04
9693.8,1340.26
9697.3,1535.14
9699.6,1697.09
9701.1,1624.32
9702.9,1748.75
9704.1,1744.06
9705.2,1474.14
9707.9,1485.38
9710.5,1683.74
9712.0,2242.44
9710.4,2278.52
9708.6,1041.81
9713.6,453.8
9721.9,170.36
9731.7,512.94
9739.7,306.35
9748.8,584.18
9756.4,608.42
9763.9,510.91
9771.9,470.72
9780.2,574.04
9787.9,369.85
9796.7,486.51
9804.9,461.56
9813.2,608.96
9820.7,1054.66
9825.8,1016.39
9831.1,793.98
9837.6,1119.79
9842.3,1040.78
9847.5,1085.08
9852.4,1220.08
9856.6,1398.91
9859.8,1377.1
9863.2,1359.27
9866.6,1690.61
9868.2,1747.4
9869.5,1787.69
9870.6,2253.53
9869.1,2582.75
9865.9,2541.87
9862.9,2955.5
9857.6,2727.35
9853.6,2689.97
9849.7,2325.87
9847.8,2416.8
9845.4,2087.93
9844.8,2287.08
9843.1,2440.41
9840.6,2531.01
9837.6,2540.83
9834.5,2641.65
9830.9,2434.93
9828.3,2281.11
9826.6,2321.77
9824.7,2302.31
9822.8,2485.38
9820.0,2599.24
9816.6,2614.29
9813.1,2623.94
9809.5,2557.63
9806.3,2738.56
9802.1,2690.96
9798.2,2918.66
9793.1,3180.98
9786.5,2502.21
9783.6,2632.74
9779.9,2589.73
9776.5,2633.3
9772.8,2258.39
9771.1,2449.02
9768.3,2517.61
9765.2,2572.48
9761.9,2567.5
9758.5,2514.57
9755.4,2454.33
9752.6,2367.24
9750.3,2530.7
9747.1,2578.79
9743.7,2568.02
9740.3,2795.97
9735.7,2409.35
9733.1,2385.21
9730.6,2379.03
9728.2,1968.96
9727.8,1562.33
9729.5,1686.85
9730.6,1912.68
9730.5,1545.84
9732.2,1710.71
9733.1,1559.13
9734.8,1629.56
9736.2,893.78
9741.2,927.31
9746.0,1023.97
9750.4,850.06
9755.7,844.85
9761.0,1057.64
9765.2,1138.73
9769.0,1046.74
9773.3,1114.36
9777.2,1389.09
9779.8,1351.63
9782.5,1455.14
9784.7,1196.28
9788.2,892.42
9793.3,407.61
9800.7,520.89
9807.6,305.23
9815.6,481.83
9822.7,444.61
9830.0,515.44
9836.9,674.76
9843.1,680.96
9849.2,234.3
9857.6,101.94
9866.6,59.06
9875.8,31.32
9885.5,276.91
9896.5,41.71
9905.8,369.58
9917.2,437.1
9929.0,313.43
9940.2,428.33
9951.9,47.73
9961.3,23.63
9970.8,266.87
9979.2,201.45
9989.9,385.18
9997.6,390.74
10005.4,308.82
10013.6,343.97
10021.6,32.21
10031.1,367.35
10039.0,729.85
10045.1,1259.58
10048.7,1243.98
10052.3,1339.95
10055.4,1521.23
10057.6,1144.78
10061.7,1148.88
10065.7,1311.36
10069.0,1310.1
10072.3,1004.91
10077.0,921.11
10082.2,1183.57
10086.1,2046.72
10085.8,2153.86
10084.9,2199.44
10083.8,2147.15
10083.0,5252.79
10067.1,4458.07
10055.0,4888.74
10040.9,4692.46
10027.7,5001.35
10013.0,4655.39
9999.9,4589.67
9987.2,3792.0
9978.4,3751.96
9969.7,3779.85
9960.8,4138.18
9950.3,3448.14
9943.0,3174.51
9937.0,3238.54
9930.7,3166.95
9924.8,3555.71
9917.0,3656.05
9908.7,4023.29
9898.7,3493.41
9891.2,3462.92
9883.9,3231.03
9877.6,3068.49
9872.0,3130.33
9866.2,2994.51
9861.0,3083.56
9855.4,2512.2
9852.4,2646.85
9848.8,2483.77
9846.0,2552.31
9842.8,2969.56
9837.7,2946.1
9832.7,2917.33
9827.9,2970.24
9822.7,2950.75
9817.7,3193.9
9811.6,2699.33
9807.7,2772.81
9803.4,2544.04
9800.3,2670.26
9796.5,2956.26
9791.4,2938.88
9786.4,2655.41
9782.7,2305.1
9780.6,2273.52
9778.6,2229.08
9776.8,2077.53
9775.6,1984.94
9774.9,2009.57
9774.1,996.47
9777.9,1149.13
9780.9,956.24
9784.8,810.98
9789.4,885.45
9793.7,907.77
9797.8,766.84
9802.6,631.81
9808.0,194.48
9817.1,4.7
9825.3,297.91
9832.2,1077.74
9835.6,1218.35
9838.4,1023.87
9842.1,536.17
9847.9,57.59
9855.9,552.31
9861.7,476.0
9867.8,198.4
9875.2,155.83
9882.7,96.96
9890.5,379.83
9897.1,839.53
9901.6,734.34
9906.6,728.28
9911.7,1180.97
9914.7,1015.04
9918.5,1075.65
9921.9,724.36
9927.0,357.79
9933.7,507.72
9939.7,241.6
9946.9,496.06
9952.9,251.33
9962.3,436.73
9968.7,310.66
9975.6,181.04
9983.1,359.35
9989.8,319.37
9996.7,242.85
10003.9,221.31
10011.3,236.15
10018.5,126.37
10026.3,739.88
10031.4,571.43
10037.2,563.7
10043.0,712.93
10048.2,621.5
10053.8,527.8
10059.9,605.09
10065.5,685.47
10070.9,770.75
10075.8,718.37
10081.0,796.22
10085.9,394.0
10092.5,471.01
10098.8,822.22
10103.5,862.65
10108.1,953.65
10112.3,1108.07
10115.8,988.33
10119.8,934.45
10124.1,990.13
10128.1,891.72
10132.6,1044.62
10136.3,1063.88
10140.0,1008.69
10144.0,1054.91
10147.7,798.79
10152.6,896.37
10157.0,716.93
10162.2,924.16
10166.6,879.2
10171.1,935.14
10175.4,879.5
10179.9,941.77
10184.1,929.58
10188.4,994.89
10192.4,1061.4
10196.2,1042.01
10200.0,1025.29
10203.9,989.24
10207.9,1044.03
10211.8,819.14
10216.5,679.1
10221.9,608.79
10227.6,676.32
10233.0,525.5
10239.1,300.27
10246.1,796.3
10257.8,677.14
10269.1,833.57
10281.0,833.93
10292.9,1050.98
10305.8,1517.89
10320.7,757.07
10332.4,910.17
10344.7,849.55
10356.8,1393.48
10371.3,1401.64
10385.8,1219.8
10399.5,1368.1
10413.9,1270.16
10427.9,1465.13
10442.8,949.63
10455.5,1117.61
10468.9,1308.53
10483.1,1291.28
10497.3,1376.68
10511.9,1402.11
10526.6,1767.12
10542.9,1426.63
10557.8,1176.2
10571.6,1294.22
10585.9,936.9
10598.7,1084.74
10612.2,1040.82
10625.5,1138.43
10639.3,698.1
10651.1,816.27
10663.5,638.51
10675.2,859.55
10687.8,793.84
10700.1,1007.68
10713.4,946.17
10726.4,1196.85
10740.5,656.94
10752.4,564.89
10759.0,291.11
10766.7,607.08
10773.2,518.27
10780.0,412.26
10787.2,665.68
10793.4,565.57
10800.0,447.34
10807.2,411.76
10814.4,367.96
10821.9,491.13
10828.9,154.26
10837.3,51.68
